person,personLabel.x,memberID,member_name,check
http://www.wikidata.org/entity/Q1418573,Fionán Lynch,649,Mr. Fionán Lynch,1
http://www.wikidata.org/entity/Q1425313,Garret FitzGerald,402,Mr. Garret FitzGerald,1
http://www.wikidata.org/entity/Q1441563,Frank Daly,1102,Dr. Francis Constantine (Dr.) Ward,0
http://www.wikidata.org/entity/Q1443220,Frank Fahey,373,Mr. Frank Fahey,1
http://www.wikidata.org/entity/Q1443237,Frank Feighan,2014,Mr. Frank Feighan,1
http://www.wikidata.org/entity/Q1459247,Niamh Bhreathnach,1867,Mrs. Niamh Bhreathnach,1
http://www.wikidata.org/entity/Q1468230,Michael J. Noonan,822,Mr. Michael J. (Limerick West) Noonan,1
http://www.wikidata.org/entity/Q1474714,Paul Gogarty,1808,Mr. Paul Nicholas Gogarty,1
http://www.wikidata.org/entity/Q1490344,Peadar Doyle,343,Mr. Peadar S. Doyle,1
http://www.wikidata.org/entity/Q1499408,Shane McEntee,2137,Mr. Shane McEntee RIP,1
http://www.wikidata.org/entity/Q1501146,Gemma Hussey,543,Mrs. Gemma Hussey,1
http://www.wikidata.org/entity/Q1501385,Gene Fitzgerald,400,Mr. Eugene (Gene) Fitzgerald,1
http://www.wikidata.org/entity/Q1501385,Gene Fitzgerald,499,Augustine .A. (Gus) Healy,0
http://www.wikidata.org/entity/Q1507132,George Colley,195,Mr. George Colley,1
http://www.wikidata.org/entity/Q1509799,Gerald Bartley,34,Mr. Gerald Bartley,1
http://www.wikidata.org/entity/Q1509803,Gerald Boland,62,Mr. Gerald Boland,1
http://www.wikidata.org/entity/Q1510129,Gerard Brady,76,Mr. Gerard Brady,1
http://www.wikidata.org/entity/Q1510184,Gerard Sweetman,1059,Mr. Gerard Sweetman,1
http://www.wikidata.org/entity/Q1514795,Ivan Yates,1117,Mr. Ivan Yates,1
http://www.wikidata.org/entity/Q1514911,Gerry O'Sullivan,957,Mr. Gerry O'Sullivan,1
http://www.wikidata.org/entity/Q1524549,P. J. Ruttledge,1012,Mr. Patrick J. Ruttledge,1
http://www.wikidata.org/entity/Q1534557,Robert Briscoe,101,Mr. Robert Briscoe,1
http://www.wikidata.org/entity/Q154550,Bertie Ahern,5,Mr. Bertie Ahern,1
http://www.wikidata.org/entity/Q1547762,Paddy O'Toole,966,Mr. Paddy O'Toole,1
http://www.wikidata.org/entity/Q15491096,Michael Moynihan,785,Mr. Michael Moynihan,1
http://www.wikidata.org/entity/Q15505588,Michael Donnellan,333,Mr. Michael Donnellan,1
http://www.wikidata.org/entity/Q15505588,Michael Donnellan,778,Mr. Michael Moran,0
http://www.wikidata.org/entity/Q1575554,John McCann,698,Mr. John McCann,1
http://www.wikidata.org/entity/Q1577118,William O'Brien,829,Mr. William O'Brien,1
http://www.wikidata.org/entity/Q1583571,James Larkin,612,Mr. James (Senior) Larkin,1
http://www.wikidata.org/entity/Q15992782,Harry Blaney,57,Mr. Harry Blaney,1
http://www.wikidata.org/entity/Q15995896,Joseph Hannigan,485,Mr. Joseph Hannigan,1
http://www.wikidata.org/entity/Q15996075,Hugo Flinn,419,Mr. Hugo Victor Flinn,1
http://www.wikidata.org/entity/Q15997435,James Victory,1089,Mr. James Victory,1
http://www.wikidata.org/entity/Q15998295,Bridget Redmond,987,Bridget Mary Redmond,1
http://www.wikidata.org/entity/Q15998295,Bridget Redmond,1018,Ms. Mary Bridget Ryan,0
